red,green,blue
233,197,146
183,97,58
188,84,7
247,252,254
248,253,253
50,50,59
2,60,167
122,80,65
247,252,254
248,253,253
50,50,59
129,80,39
124,76,37
169,152,131
233,197,146
183,97,58
222,191,95
182,31,110
150,29,92
70,120,177
2,91,183
18,19,26
18,29,49
28,44,73
250,252,252
240,237,237
114,73,55
19,14,17
11,7,5
114,73,55
19,14,17
11,7,5
159,157,162
173,182,201
223,187,43
62,113,201
16,94,23
204,225,250
68,98,36
202,194,174
86,80,79
97,165,186
97,165,185
7,6,6
4,3,3
160,157,157
200,67,10
130,158,178
4,4,4
52,52,51
65,85,108
4,4,4
82,82,82
65,85,108
245,247,248
244,247,249
244,247,249
244,247,249
192,5,5
216,11,14
192,7,7
113,211,238
118,211,238
115,212,239
119,211,237
3,15,57
2,13,55
124,154,240
115,212,238
119,212,239
109,210,238
128,212,236
82,81,88
112,129,139
119,118,123
43,46,54
110,127,137
247,252,254
248,253,253
50,50,59
210,190,155
208,189,158
249,248,241
71,124,177
233,193,62
247,252,254
248,253,253
71,90,107
248,177,64
233,193,62
13,29,28
1,1,0
99,79,57
32,32,32
60,114,203
25,25,25
14,6,5
14,125,18
244,246,248
166,18,31
158,6,22
216,195,141
69,50,30
65,48,30
210,189,131
210,190,155
208,189,158
210,190,155
208,189,158
129,211,230
129,211,230
23,1,252
22,2,253
155,27,24
191,148,124
80,43,29
166,195,222
202,71,54
9,82,173
13,175,227
247,252,254
248,253,253
71,90,107
70,120,177
2,91,183
18,19,26
247,252,254
248,253,253
71,90,107
251,252,252
41,113,197
206,193,170
17,50,80
237,250,252
248,247,246
250,250,248
175,152,134
243,183,105
199,130,53
248,247,246
250,250,248
175,152,134
14,6,5
14,125,18
244,246,248
17,18,22
248,248,249
6,6,11
14,18,23
244,246,248
114,73,55
19,14,17
11,7,5
228,227,227
6,45,158
22,52,98
2,114,198
21,53,102
2,114,198
7,6,6
4,3,3
160,157,157
68,67,169
68,69,170
68,67,169
68,69,170
114,73,55
19,14,17
11,7,5
248,251,186
250,252,187
69,50,30
65,48,30
210,189,131
69,50,30
65,48,30
210,189,131
217,151,28
217,15,17
247,252,254
248,253,253
140,156,158
247,252,254
248,253,253
140,156,158
70,120,177
2,91,183
18,19,26
193,202,159
233,231,227
235,231,227
91,80,76
235,231,227
91,81,76
90,120,144
233,231,225
247,252,254
248,253,253
140,156,158
193,202,87
253,254,253
162,107,66
155,146,140
251,251,251
32,56,74
31,57,76
94,163,189
70,120,177
2,91,183
18,19,26
129,80,39
124,76,37
169,152,131
247,252,254
248,253,253
50,50,59
193,202,159
233,231,227
235,231,227
91,80,76
235,231,227
91,81,76
90,120,144
233,231,225
193,202,159
233,231,227
235,231,227
91,80,76
235,231,227
91,81,76
90,120,144
233,231,225
247,252,254
248,253,253
71,90,107
91,152,202
2,114,198
91,152,200
29,130,210
14,6,5
14,125,18
244,246,248
14,6,5
14,125,18
244,246,248
115,212,239
119,211,237
115,212,238
119,212,239
182,31,110
150,29,92
251,252,252
41,113,197
206,193,170
70,120,177
2,91,183
18,19,26
160,3,2
161,3,2
195,35,164
205,16,47
91,159,184
84,127,176
91,159,184
84,127,176
14,16,7
97,80,19
26,22,21
26,21,21
1,1,1
0,0,0
26,22,21
26,21,21
1,1,1
0,0,0
1,1,1
54,217,252
13,8,8
6,6,11
14,18,23
244,246,248
14,6,5
14,125,18
244,246,248
238,177,46
120,71,25
159,157,162
173,182,201
159,157,162
173,182,201
50,57,65
63,80,99
101,123,154
247,252,254
248,253,253
71,90,107
7,6,6
4,3,3
160,157,157
247,252,254
248,253,253
71,90,107
218,190,130
187,157,97
114,73,55
19,14,17
11,7,5
144,162,200
177,85,9
224,242,248
235,247,250
238,177,46
120,71,25
200,14,45
197,5,37
6,2,3
126,5,5
217,151,28
217,15,17
217,151,28
217,15,17
70,120,177
2,91,183
18,19,26
70,120,177
2,91,183
18,19,26
247,252,254
248,253,253
140,156,158
42,114,197
41,113,197
27,123,141
42,114,197
41,113,197
27,123,141
50,53,60
50,53,60
32,29,25
192,5,5
216,11,14
192,7,7
7,6,6
4,3,3
160,157,157
210,192,222
208,189,228
237,70,85
230,66,69
132,122,119
129,211,230
247,252,254
248,253,253
71,90,107
247,252,254
248,253,253
71,90,107
112,113,115
255,203,39
120,71,25
112,113,115
255,203,39
120,71,25
14,6,5
14,125,18
244,246,248
14,6,5
14,125,18
244,246,248
208,5,22
207,4,21
194,193,198
33,92,137
88,105,198
22,86,133
87,105,198
194,193,198
69,50,30
65,48,30
210,189,131
72,180,170
71,178,169
84,82,90
115,212,239
119,211,237
252,180,10
130,158,178
19,9,6
56,15,8
184,8,42
156,204,34
23,170,215
70,120,177
2,91,183
18,19,26
17,18,22
248,248,249
247,252,254
248,253,253
50,50,59
187,198,160
188,200,159
187,198,160
188,200,159
247,252,254
248,253,253
140,156,158
59,65,68
148,203,228
59,65,68
28,49,62
29,49,61
167,99,128
226,226,226
188,199,160
188,200,158
80,43,29
166,195,222
202,71,54
155,27,24
191,148,124
159,157,162
173,182,201
248,251,186
250,252,187
75,35,18
76,35,16
247,252,254
248,253,253
71,90,107
247,252,254
248,253,253
71,90,107
205,227,250
254,221,2
246,124,163
235,235,237
89,85,79
3,15,57
2,13,55
124,154,240
91,162,185
85,125,175
91,162,185
85,125,175
114,73,55
19,14,17
11,7,5
5,5,5
82,82,82
65,85,108
7,6,6
4,3,3
160,157,157
220,41,24
220,42,23
159,99,173
189,25,53
220,42,22
159,99,173
148,203,228
73,78,82
114,73,55
19,14,17
11,7,5
7,6,6
4,3,3
160,157,157
246,248,246
167,152,129
169,151,124
26,20,19
33,92,137
70,120,177
2,91,183
18,19,26
2,14,56
2,12,54
41,50,79
99,28,29
98,23,25
231,234,230
13,12,16
20,171,224
21,171,224
13,12,16
20,171,224
21,171,224
69,50,30
65,48,30
210,189,131
62,58,64
249,244,250
20,171,224
20,171,225
13,12,16
6,6,11
14,18,23
244,246,248
243,183,105
199,130,53
203,133,2
199,105,1
17,18,22
248,248,249
18,125,17
244,246,248
115,212,239
119,211,237
113,211,238
118,211,238
25,52,81
244,246,248
114,73,55
19,14,17
11,7,5
164,153,147
231,133,27
231,133,27
24,175,124
114,73,55
19,14,17
11,7,5
6,6,11
14,18,23
244,246,248
2,114,198
14,6,5
14,125,18
244,246,248
6,6,11
14,18,23
244,246,248
2,1,1
